gene	kog
Amillepora18414	Function Unknown
Amillepora18422	Cell cycle control, cell division, chromosome partitioning
Amillepora18420	Cell cycle control, cell division, chromosome partitioning
Amillepora18429	Signal transduction mechanisms
Amillepora18429	Defense mechanisms
Amillepora18434	Intracellular trafficking, secretion, and vesicular transport
Amillepora18438	Signal transduction mechanisms
Amillepora18436	Signal transduction mechanisms
Amillepora18433	Intracellular trafficking, secretion, and vesicular transport
Amillepora18437	RNA processing and modification
Amillepora18444	Energy production and conversion
Amillepora18442	Intracellular trafficking, secretion, and vesicular transport
Amillepora18440	Nucleotide transport and metabolism
Amillepora18443	Transcription
Amillepora18445	Cell cycle control, cell division, chromosome partitioning
Amillepora18445	Cell motility
Amillepora18450	Chromatin structure and dynamics
Amillepora18457	Lipid transport and metabolism
Amillepora18452	Inorganic ion transport and metabolism
Amillepora18456	Function Unknown
Amillepora18454	Function Unknown
Amillepora18455	Transcription
Amillepora18449	Inorganic ion transport and metabolism
Amillepora18453	Posttranslational modification, protein turnover, chaperones
Amillepora18447	Signal transduction mechanisms
Amillepora18451	RNA processing and modification
Amillepora18451	Transcription
Amillepora18461	Function Unknown
Amillepora18459	Function Unknown
Amillepora18458	Carbohydrate transport and metabolism
Amillepora18460	Function Unknown
Amillepora18462	RNA processing and modification
Amillepora18464	Function Unknown
Amillepora18465	Function Unknown
Amillepora18468	Function Unknown
Amillepora18469	Function Unknown
Amillepora18475	Signal transduction mechanisms
Amillepora18475	Defense mechanisms
Amillepora18477	Signal transduction mechanisms
Amillepora18476	Signal transduction mechanisms
Amillepora18486	Signal transduction mechanisms
Amillepora18484	Intracellular trafficking, secretion, and vesicular transport
Amillepora18489	Energy production and conversion
Amillepora18482	Intracellular trafficking, secretion, and vesicular transport
Amillepora18487	Transcription
Amillepora18488	Function Unknown
Amillepora18481	Signal transduction mechanisms
Amillepora18506	Inorganic ion transport and metabolism
Amillepora18491	Intracellular trafficking, secretion, and vesicular transport
Amillepora18498	Carbohydrate transport and metabolism
Amillepora18500	Function Unknown
Amillepora18493	Function Unknown
Amillepora18501	Posttranslational modification, protein turnover, chaperones
Amillepora18492	RNA processing and modification
Amillepora18502	Function Unknown
Amillepora18499	Posttranslational modification, protein turnover, chaperones
Amillepora18514	Energy production and conversion
Amillepora18515	Function Unknown
Amillepora18516	Function Unknown
Amillepora18508	Posttranslational modification, protein turnover, chaperones
Amillepora18507	Posttranslational modification, protein turnover, chaperones
Amillepora18524	Transcription
Amillepora18521	Function Unknown
Amillepora18523	Function Unknown
Amillepora18527	Inorganic ion transport and metabolism
Amillepora18526	Inorganic ion transport and metabolism
Amillepora18529	RNA processing and modification
Amillepora18533	Function Unknown
Amillepora18530	RNA processing and modification
Amillepora18534	Function Unknown
Amillepora18531	RNA processing and modification
Amillepora18536	Signal transduction mechanisms
Amillepora18537	Lipid transport and metabolism
Amillepora18538	Signal transduction mechanisms
Amillepora18542	Signal transduction mechanisms
Amillepora18542	Defense mechanisms
Amillepora18543	Intracellular trafficking, secretion, and vesicular transport
Amillepora18539	Signal transduction mechanisms
Amillepora18541	Cytoskeleton
Amillepora18540	Function Unknown
Amillepora18550	Signal transduction mechanisms
Amillepora18549	Function Unknown
Amillepora18557	Function Unknown
Amillepora18556	Carbohydrate transport and metabolism
Amillepora18558	Extracellular structures
Amillepora18572	Extracellular structures
Amillepora18560	Inorganic ion transport and metabolism
Amillepora18560	Signal transduction mechanisms
Amillepora18563	Inorganic ion transport and metabolism
Amillepora18563	Signal transduction mechanisms
Amillepora18562	Inorganic ion transport and metabolism
Amillepora18562	Signal transduction mechanisms
Amillepora18581	Extracellular structures
Amillepora18576	Extracellular structures
Amillepora18586	Function Unknown
Amillepora18570	Inorganic ion transport and metabolism
Amillepora18570	Signal transduction mechanisms
Amillepora18584	Inorganic ion transport and metabolism
Amillepora18584	Signal transduction mechanisms
Amillepora18575	Inorganic ion transport and metabolism
Amillepora18575	Signal transduction mechanisms
Amillepora18580	Inorganic ion transport and metabolism
Amillepora18580	Signal transduction mechanisms
Amillepora18567	Inorganic ion transport and metabolism
Amillepora18567	Signal transduction mechanisms
Amillepora18574	Inorganic ion transport and metabolism
Amillepora18574	Signal transduction mechanisms
Amillepora18579	Inorganic ion transport and metabolism
Amillepora18579	Signal transduction mechanisms
Amillepora18566	Inorganic ion transport and metabolism
Amillepora18566	Signal transduction mechanisms
Amillepora18565	Inorganic ion transport and metabolism
Amillepora18565	Signal transduction mechanisms
Amillepora18590	Function Unknown
Amillepora18599	Function Unknown
Amillepora18597	Function Unknown
Amillepora18595	Function Unknown
Amillepora18591	Function Unknown
Amillepora18596	Function Unknown
Amillepora18593	Transcription
Amillepora18592	Function Unknown
Amillepora18608	Function Unknown
Amillepora18613	Function Unknown
Amillepora18606	Inorganic ion transport and metabolism
Amillepora18606	Signal transduction mechanisms
Amillepora18611	Replication, recombination and repair
Amillepora18607	Function Unknown
Amillepora18627	Carbohydrate transport and metabolism
Amillepora18621	Function Unknown
Amillepora18624	Function Unknown
Amillepora18618	Function Unknown
Amillepora18614	Function Unknown
Amillepora18626	Function Unknown
Amillepora18628	Replication, recombination and repair
Amillepora18635	Function Unknown
Amillepora18632	Function Unknown
Amillepora18629	Replication, recombination and repair
Amillepora18634	Function Unknown
Amillepora18637	Function Unknown
Amillepora18650	Function Unknown
Amillepora18657	Function Unknown
Amillepora18671	Function Unknown
Amillepora18670	Function Unknown
Amillepora26276	Transcription
Amillepora26275	Function Unknown
Amillepora26277	Transcription
Amillepora26279	Signal transduction mechanisms
Amillepora26281	Signal transduction mechanisms
Amillepora26280	Signal transduction mechanisms
Amillepora26278	Function Unknown
Amillepora26259	Cytoskeleton
Amillepora26271	Cytoskeleton
Amillepora26261	Cytoskeleton
Amillepora26266	Cytoskeleton
Amillepora26263	Cytoskeleton
Amillepora26272	Transcription
Amillepora26288	Function Unknown
Amillepora26290	Coenzyme transport and metabolism
Amillepora26283	Inorganic ion transport and metabolism
Amillepora26282	Inorganic ion transport and metabolism
Amillepora26292	Signal transduction mechanisms
Amillepora26295	Signal transduction mechanisms
Amillepora26293	Function Unknown
Amillepora26296	Function Unknown
Amillepora26291	Intracellular trafficking, secretion, and vesicular transport
Amillepora26294	Intracellular trafficking, secretion, and vesicular transport
Amillepora26297	Cytoskeleton
Amillepora26299	Signal transduction mechanisms
Amillepora26298	Amino acid transport and metabolism
Amillepora26312	Function Unknown
Amillepora26313	Energy production and conversion
Amillepora26313	Posttranslational modification, protein turnover, chaperones
Amillepora26310	Signal transduction mechanisms
Amillepora26310	Intracellular trafficking, secretion, and vesicular transport
Amillepora26320	Function Unknown
Amillepora26322	Function Unknown
Amillepora26329	Translation, ribosomal structure and biogenesis
Amillepora26326	Function Unknown
Amillepora26327	Replication, recombination and repair
Amillepora26325	Posttranslational modification, protein turnover, chaperones
Amillepora26332	Function Unknown
Amillepora26337	Transcription
Amillepora26352	Posttranslational modification, protein turnover, chaperones
Amillepora26384	Defense mechanisms
Amillepora26385	Function Unknown
Amillepora26391	Function Unknown
Amillepora26386	Function Unknown
Amillepora26390	Function Unknown
Amillepora26389	Function Unknown
Amillepora26388	Function Unknown
Amillepora26396	Function Unknown
Amillepora26394	Function Unknown
Amillepora26397	Function Unknown
Amillepora26395	Function Unknown
Amillepora26401	Function Unknown
Amillepora26402	Function Unknown
Amillepora26398	Function Unknown
Amillepora26407	Signal transduction mechanisms
Amillepora26416	Function Unknown
Amillepora26415	Function Unknown
Amillepora26414	Function Unknown
Amillepora26412	Function Unknown
Amillepora26410	Function Unknown
Amillepora26413	Function Unknown
Amillepora26409	Function Unknown
Amillepora26424	Function Unknown
Amillepora26420	Function Unknown
Amillepora26423	Function Unknown
Amillepora26417	Function Unknown
Amillepora26418	Amino acid transport and metabolism
Amillepora26418	Inorganic ion transport and metabolism
Amillepora26418	Signal transduction mechanisms
Amillepora26425	Replication, recombination and repair
Amillepora26421	Function Unknown
Amillepora26434	Replication, recombination and repair
Amillepora26431	Replication, recombination and repair
Amillepora26428	Function Unknown
Amillepora26442	Replication, recombination and repair
Amillepora26439	Function Unknown
Amillepora26452	Function Unknown
Amillepora26449	Function Unknown
Amillepora26453	Transcription
Amillepora26448	Function Unknown
Amillepora26436	Replication, recombination and repair
Amillepora26463	Function Unknown
Amillepora26467	Replication, recombination and repair
Amillepora26469	Function Unknown
Amillepora26475	Function Unknown
Amillepora26474	Chromatin structure and dynamics
Amillepora26478	Chromatin structure and dynamics
Amillepora26477	RNA processing and modification
Amillepora26480	Posttranslational modification, protein turnover, chaperones
Amillepora26476	Posttranslational modification, protein turnover, chaperones
Amillepora26479	Function Unknown
Amillepora26490	Function Unknown
Amillepora26485	Replication, recombination and repair
Amillepora26484	Function Unknown
Amillepora26482	Extracellular structures
Amillepora26487	Inorganic ion transport and metabolism
Amillepora26487	Signal transduction mechanisms
Amillepora26493	Function Unknown
Amillepora26497	Replication, recombination and repair
Amillepora26499	Function Unknown
Amillepora26513	Function Unknown
Amillepora26512	Signal transduction mechanisms
Amillepora26521	Cytoskeleton
Amillepora26508	Function Unknown
Amillepora26517	Intracellular trafficking, secretion, and vesicular transport
Amillepora26516	Posttranslational modification, protein turnover, chaperones
Amillepora26503	Function Unknown
Amillepora26511	Function Unknown
Amillepora26519	Posttranslational modification, protein turnover, chaperones
Amillepora26506	Function Unknown
Amillepora26528	Transcription
Amillepora26528	Signal transduction mechanisms
Amillepora26529	Cytoskeleton
Amillepora26523	Function Unknown
Amillepora26530	Function Unknown
Amillepora26522	Function Unknown
Amillepora26531	Transcription
Amillepora26541	Posttranslational modification, protein turnover, chaperones
Amillepora26537	Cytoskeleton
