gene,contribution
Amillepora18334,7.045685332619785e-5
Amillepora18335,5.27910218101375e-6
Amillepora18340,5.435705494222149e-6
Amillepora18342,1.1051854964461301e-5
Amillepora18349,8.826495503117873e-5
Amillepora18348,3.4705872003545104e-6
Amillepora18346,3.2263424758773584e-5
Amillepora18353,1.1544221707792045e-6
Amillepora18357,6.0530561365959886e-5
Amillepora18356,9.71712721743698e-6
Amillepora18351,2.3689392732281666e-5
Amillepora18352,1.408100796356514e-4
Amillepora18350,7.922141092450706e-6
Amillepora18360,2.637424243785817e-5
Amillepora18365,2.5184005437228844e-5
Amillepora18363,1.01299861268362e-4
Amillepora18362,8.932039968791132e-6
Amillepora18378,4.209687175399978e-6
Amillepora18372,6.204743125612347e-7
Amillepora18368,2.0389053525867836e-4
Amillepora18375,9.793017726781681e-6
Amillepora18367,1.301509901050239e-5
Amillepora18366,2.8399217655275778e-5
Amillepora18376,1.4532746261287267e-5
Amillepora18373,6.502202185078907e-5
Amillepora18383,5.377622209831792e-5
Amillepora18380,2.390973418471229e-5
Amillepora18381,5.219881677395659e-5
Amillepora18379,1.0256443348134861e-5
Amillepora18385,4.775283861992571e-7
Amillepora18389,2.733353232946425e-5
Amillepora18382,2.1567531882412512e-5
Amillepora18398,2.190613946890021e-6
Amillepora18394,3.470051662016131e-5
Amillepora18396,6.880956785196156e-5
Amillepora18395,7.289307601628701e-5
Amillepora18390,7.723582527829564e-5
Amillepora18393,3.0381671973707797e-5
Amillepora18402,3.058990230517527e-6
